asset_tag,asset_type,category,subscription,manufacturer,model,serial_number,status,condition,seats_total,warranty_end,notes
HW-LAP-MBP001,HARDWARE,Laptop,,Apple,MacBook Pro 14",SN-MBP-2024-001,IN_STOCK,NEW,,2028-01-15,M3 Pro chip with 18GB RAM
HW-LAP-MBP002,HARDWARE,Laptop,,Apple,MacBook Pro 14",SN-MBP-2024-002,IN_STOCK,NEW,,2027-01-15,M3 Pro chip with 18GB RAM
HW-LAP-DEL001,HARDWARE,Laptop,,Dell,XPS 15,SN-DELL-2024-001,IN_STOCK,NEW,,2027-02-01,Intel i7 with 32GB RAM
HW-LAP-LEN001,HARDWARE,Laptop,,Lenovo,ThinkPad X1 Carbon,SN-LENOVO-2024-001,IN_STOCK,GOOD,,2027-02-15,Ready for engineering team
HW-MON-DEL001,HARDWARE,Monitor,,Dell,UltraSharp U2723QE,SN-DELL-MON-001,IN_STOCK,NEW,,2027-03-01,27" 4K USB-C Monitor
HW-MON-DEL002,HARDWARE,Monitor,,Dell,UltraSharp U2723QE,SN-DELL-MON-002,IN_STOCK,NEW,,2027-03-01,27" 4K USB-C Monitor
HW-MON-LGE001,HARDWARE,Monitor,,LG,27UK850-W,SN-LG-MON-001,IN_STOCK,GOOD,,2027-06-15,27" 4K Monitor
HW-KEY-APL001,HARDWARE,Keyboard,,Apple,Magic Keyboard,SN-APPLE-KB-001,IN_STOCK,NEW,,2027-01-15,With Touch ID
HW-KEY-APL002,HARDWARE,Keyboard,,Apple,Magic Keyboard,SN-APPLE-KB-002,IN_STOCK,NEW,,2027-01-15,With Touch ID
HW-MOU-LOG001,HARDWARE,Mouse,,Logitech,MX Master 3S,SN-LOGI-MS-001,IN_STOCK,NEW,,2027-01-20,Wireless ergonomic mouse
HW-MOU-LOG002,HARDWARE,Mouse,,Logitech,MX Master 3S,SN-LOGI-MS-002,IN_STOCK,GOOD,,2027-01-20,Wireless ergonomic mouse
HW-HED-SNY001,HARDWARE,Headset,,Sony,WH-1000XM5,SN-SONY-HS-001,IN_STOCK,NEW,,2027-04-01,Noise cancelling headphones
HW-HED-SNY002,HARDWARE,Headset,,Sony,WH-1000XM5,SN-SONY-HS-002,IN_STOCK,GOOD,,2027-04-01,Noise cancelling headphones
HW-DOC-CAL001,HARDWARE,Docking Station,,CalDigit,TS4,SN-CALDIGIT-001,IN_STOCK,NEW,,2027-02-01,Thunderbolt 4 dock
HW-DOC-CAL002,HARDWARE,Docking Station,,CalDigit,TS4,SN-CALDIGIT-002,IN_STOCK,GOOD,,2027-02-01,Thunderbolt 4 dock
HW-PHO-APL001,HARDWARE,Phone,,Apple,iPhone 15 Pro,SN-IPHONE-001,IN_STOCK,NEW,,2027-05-01,Company mobile device
HW-TAB-APL001,HARDWARE,Tablet,,Apple,iPad Pro 12.9",SN-IPAD-001,IN_STOCK,NEW,,2027-03-15,M2 chip with 256GB
HW-PRI-HPE001,HARDWARE,Printer,,HP,LaserJet Pro M404dn,SN-HP-PRINT-001,IN_STOCK,GOOD,,2027-08-01,Office laser printer
HW-WEB-LOG001,HARDWARE,Webcam,,Logitech,Brio 4K,SN-LOGI-CAM-001,IN_STOCK,NEW,,2027-01-10,4K webcam for video calls
HW-WEB-LOG002,HARDWARE,Webcam,,Logitech,Brio 4K,SN-LOGI-CAM-002,IN_STOCK,GOOD,,2027-01-10,4K webcam for video calls
SW-JET-ALL001,SOFTWARE,,JetBrains All Products,,,,IN_STOCK,NEW,10,,Annual subscription - 10 seats
SW-GIT-ENT001,SOFTWARE,,GitHub Enterprise,,,,IN_STOCK,NEW,100,,Annual subscription - unlimited repos
SW-FIG-ORG001,SOFTWARE,,Figma Organization,,,,IN_STOCK,NEW,15,,Annual subscription - 15 seats
SW-M365-BIZ01,SOFTWARE,,Microsoft 365,,,,IN_STOCK,NEW,50,,Annual subscription - 50 seats
SW-SLK-BUS001,SOFTWARE,,Slack Business+,,,,IN_STOCK,NEW,50,,Annual subscription - 50 seats
SW-ZOM-BUS001,SOFTWARE,,Zoom Business,,,,IN_STOCK,NEW,20,,Annual subscription - 20 hosts
SW-1PW-BUS001,SOFTWARE,,1Password Business,,,,IN_STOCK,NEW,50,,Annual subscription - 50 seats
SW-AWS-RES001,SOFTWARE,,AWS Reserved,,,,IN_STOCK,NEW,,,1-year reserved capacity
SW-DDG-PRO001,SOFTWARE,,Datadog Pro,,,,IN_STOCK,NEW,,,Annual subscription
SW-LIN-STD001,SOFTWARE,,Linear Standard,,,,IN_STOCK,NEW,30,,Annual subscription - 30 seats
